rho,b(rho),Indirect effect a*b(rho)
-0.5,-0.2908943230796653,-0.0006169178347999458
-0.45,-0.3099696934775207,-0.0006573721691412492
-0.4,-0.32904506387537613,-0.0006978265034825529
-0.35,-0.3481204342732316,-0.0007382808378238564
-0.3,-0.367195804671087,-0.00077873517216516
-0.25,-0.3862711750689424,-0.0008191895065064634
-0.2,-0.4053465454667978,-0.000859643840847767
-0.15,-0.4244219158646533,-0.0009000981751890706
-0.1,-0.44349728626250867,-0.000940552509530374
-0.05,-0.46257265666036407,-0.0009810068438716776
-0.0,-0.4816480270582195,-0.001021461178212981
0.05,-0.500723397456075,-0.0010619155125542847
0.1,-0.5197987678539304,-0.0011023698468955883
0.15,-0.5388741382517858,-0.0011428241812368916
0.2,-0.5579495086496412,-0.0011832785155781952
0.25,-0.5770248790474967,-0.0012237328499194989
0.3,-0.596100249445352,-0.0012641871842608023
0.35,-0.6151756198432075,-0.0013046415186021058
0.4,-0.6342509902410629,-0.0013450958529434094
0.45,-0.6533263606389184,-0.001385550187284713
0.5,-0.6724017310367738,-0.0014260045216260165
